City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
109,san jeronimo,PE,2023-01-29 16:37:02,-13.2823,-73.1612,97,94,43.06999999999996,0.78
110,attawapiskat,CA,2023-01-29 16:37:03,53.5561,-80.2336,100,97,-11.416000000000011,4.1
111,belushya guba,RU,2023-01-30 00:37:03,85.3572,51.0778,84,99,-23.97999999999999,5.33
112,lagoa,PT,2023-01-29 19:37:04,47.5686,-33.121,100,73,49.90999999999998,9.1
113,cachoeira do sul,BR,2023-01-29 18:37:04,-29.8975,-52.6939,0,95,66.74000000000002,1.14
114,port-gentil,GA,2023-01-29 21:37:05,-0.8002,7.4087,76,79,80.90600000000003,2.91
115,saint george,BM,2023-01-29 17:37:05,33.3457,-64.5104,100,62,64.77799999999996,4.89
116,buluang,PH,2023-01-30 05:37:06,13.2009,117.2468,38,80,79.46600000000001,8.22
117,tura,RU,2023-01-30 04:37:06,66.9054,99.4472,83,99,-27.417999999999985,1.55
118,leningradskiy,RU,2023-01-30 09:37:07,68.2501,176.5943,100,78,-0.32800000000001717,3.94
119,chokurdakh,RU,2023-01-30 07:37:07,78.9951,151.168,100,100,-12.190000000000019,2.58
120,te anau,NZ,2023-01-30 08:37:08,-42.376,160.3543,95,88,65.91199999999995,3.95
121,iqaluit,CA,2023-01-29 16:37:08,63.6152,-70.0711,100,100,-33.304,2.54
122,sao filipe,CV,2023-01-29 19:37:09,6.1474,-28.0528,39,77,79.30399999999995,9.03
123,port hardy,CA,2023-01-29 12:37:09,49.0088,-130.2134,13,70,43.43000000000004,6.33
124,severo-kurilsk,RU,2023-01-30 07:37:09,46.4746,153.9268,100,54,26.798000000000023,8.52
125,marsassoum,SN,2023-01-29 21:37:10,13.1062,-16.0186,81,15,65.33599999999997,2.69
126,komsomolskiy,RU,2023-01-30 09:37:10,64.5716,171.2165,100,81,25.79000000000002,8.05
127,mount gambier,AU,2023-01-30 05:37:11,-57.4179,126.8338,100,87,37.18399999999999,10.2
128,castro,CL,2023-01-29 14:37:11,-43.0309,-101.9031,15,79,55.07599999999999,6.58
129,ibi,ES,2023-01-29 22:37:12,38.5566,-0.5329,45,79,35.00600000000003,2.83
130,jardim,BR,2023-01-29 19:37:12,-1.0241,-37.3212,10,77,80.47400000000002,4.23
131,beringovskiy,RU,2023-01-29 11:37:13,52.1984,176.8102,94,62,34.483999999999995,16.57
