City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
134,tanah merah,MY,2023-02-01 06:49:48,5.745,101.947,76,82,85.55000000000001,1.7
135,honiara,SB,2023-02-01 09:49:49,-13.5408,158.7573,15,75,83.984,5.18
136,chaiyaphum,TH,2023-02-01 05:49:49,15.9121,101.7692,100,17,90.44600000000005,2.2
137,dandong,CN,2023-02-01 07:49:50,38.9909,124.3778,0,47,30.65,12.82
138,bridlington,GB,2023-01-31 22:49:51,54.0532,-0.2569,100,74,45.23000000000004,14.39
139,hami,CN,2023-02-01 06:49:51,36.685,92.2583,100,31,23.017999999999983,3.94
140,ilhabela,BR,2023-01-31 19:49:51,-27.8593,-43.5526,100,85,78.53000000000004,8.94
141,kavieng,PG,2023-02-01 08:49:52,17.7949,157.1333,2,75,79.95199999999997,8.81
142,tongliao,CN,2023-02-01 06:49:52,43.2979,121.5546,0,20,24.116000000000007,8.81
143,palabuhanratu,ID,2023-02-01 05:49:53,-11.4535,102.2863,100,92,77.66600000000001,5.4
144,karratha,AU,2023-02-01 06:49:53,-19.2446,112.8172,10,74,81.03200000000001,4.08
145,tamworth,AU,2023-02-01 09:49:53,-30.8454,151.2919,4,33,82.36400000000003,3.7
146,mitu,CO,2023-01-31 17:49:54,2.5821,-69.4659,10,69,68.558,1.05
147,jatiroto,ID,2023-02-01 05:49:54,-8.4006,110.9276,100,82,81.64399999999998,7.98
148,bonito,BR,2023-01-31 18:49:55,-20.8613,-57.0689,100,96,70.77200000000005,1.06
149,vanimo,PG,2023-02-01 07:49:55,3.9414,142.4503,100,78,82.63399999999999,8.78
150,constitucion,MX,2023-01-31 14:49:56,15.453,-124.4461,100,76,71.88800000000005,9.18
151,flin flon,CA,2023-01-31 15:49:56,60.9559,-102.0568,99,97,-23.241999999999997,3.87
152,vostok,RU,2023-02-01 08:49:56,48.6845,149.5713,100,56,22.640000000000022,6.5
153,hilo,US,2023-01-31 12:49:57,9.5894,-149.5566,100,87,77.39600000000004,9.15
154,mys shmidta,RU,2023-02-01 10:49:58,72.3627,-176.1775,48,92,-7.798000000000023,9.06
155,dingle,IE,2023-01-31 21:49:58,49.3577,-17.9095,100,90,52.82599999999999,5.36
156,la ronge,CA,2023-01-31 16:49:59,55.4401,-104.1565,32,100,-27.544000000000025,1.65
157,kahului,US,2023-01-31 12:49:59,29.6993,-151.3508,32,88,66.90199999999999,6.76
158,kismayo,SO,2023-02-01 01:49:59,-0.8145,43.8808,10,82,77.21600000000001,6.76
159,dubbo,AU,2023-02-01 09:50:00,-30.2569,145.6873,0,14,92.67799999999997,6.4
160,marcona,PE,2023-01-31 17:50:00,-15.8729,-75.1579,100,91,71.85199999999998,3.89
